I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 3 -17.876666667   15.949166667     3599    11630   130     -8.000  OAV ENRT FY ONDANGWA VOR/DME
12 -17.876666667   15.949166667     3599    11630   130      0.000  OAV ENRT FY ONDANGWA VOR/DME
 3  13.147694444   30.233444444     1942    11580   130      2.000  OBD ENRT HS EL OBEID VOR/DME
12  13.147694444   30.233444444     1942    11580   130      0.000  OBD ENRT HS EL OBEID VOR/DME
 3 -34.556119444   20.247138889       43    11540   130    -25.000  OBV ENRT FA OVERBERG VORTAC
12 -34.556119444   20.247138889       43    11540   130      0.000  OBV ENRT FA OVERBERG VORTAC DME
 3   9.530100000   -7.573738889     1367    11720   130     -5.000  ODN ENRT DI ODIENNE VOR/DME
12   9.530100000   -7.573738889     1367    11720   130      0.000  ODN ENRT DI ODIENNE VOR/DME
 3   1.535694444   11.575694444     2156    11300   130     -3.000   OE ENRT FO OYEM VOR/DME
12   1.535694444   11.575694444     2156    11300   130      0.000   OE ENRT FO OYEM VOR/DME
 3  12.346277778   -1.512833333     1048    11290    40     -3.000   OG ENRT DF OUAGADOUGOU VOR/DME
12  12.346277778   -1.512833333     1048    11290    40      0.000   OG ENRT DF OUAGADOUGOU VOR/DME
 3  34.773333333   -1.950277778     1584    11750    40     -1.000  OJD ENRT GM OUJDA VOR/DME
12  34.773333333   -1.950277778     1584    11750    40      0.000  OJD ENRT GM OUJDA VOR/DME
 3  35.612647222   -0.654988889      295    11400   130     -1.000  ORA ENRT DA AHMED BENBELLA VOR/DME
12  35.612647222   -0.654988889      295    11400   130      0.000  ORA ENRT DA AHMED BENBELLA VOR/DME
 3   5.599622222    5.817708333       47    11710   130     -2.000  OSB ENRT DN OSUBI VOR/DME
12   5.599622222    5.817708333       47    11710   130      0.000  OSB ENRT DN OSUBI VOR/DME
 3  18.280444444  -15.951722222       33    11560   130     -6.000   OT ENRT GQ OUMTOUNSY VOR/DME
12  18.280444444  -15.951722222       33    11560   130      0.000   OT ENRT GQ OUMTOUNSY VOR/DME
 3  31.941666667    5.416666667      459    11270   130     -0.000  OUR ENRT DA OUARGLA VOR/DME
12  31.941666667    5.416666667      459    11270   130      0.000  OUR ENRT DA OUARGLA VOR/DME
 3   5.447783333    7.201316667      399    11490   130     -2.000  OWR ENRT DN OWERRI VOR/DME
12   5.447783333    7.201316667      399    11490   130      0.000  OWR ENRT DN OWERRI VOR/DME
 3  30.939930556   -6.904561111     3838    11670   130     -2.000  OZT ENRT GM OUARZAZATE VOR/DME
12  30.939930556   -6.904561111     3838    11670   130      0.000  OZT ENRT GM OUARZAZATE VOR/DME
 2  36.780833333    3.362222222        0      342    25      0.000   OA ENRT DA REGHAIA (ALGIERS) NDB
 2  28.165000000   19.096666667        0      330    50      0.000   OA ENRT HL SAMAH NDB
 2 -34.595622222   20.284844444        0      427    50      0.000   OB ENRT FA OVERBERG NDB
 2  -1.583333333    9.266666667        0      328    25      0.000   OB ENRT FO OMBOUE NDB
 2  28.667777778   21.441666667        0      261    50      0.000   OB ENRT HL GIALO (WAREHOUSE 59-E) NDB
 2 -29.610216667   30.395002778        0      280    50      0.000  OBI ENRT FA PIETERMARITZBURG NDB
 2  29.811194444   30.830333333        0      340    50      0.000  OCT ENRT HE OCTOBER NDB
 2  12.288888889   -1.555388889        0      305    25      0.000   OG ENRT DF OUAGADOUGOU NDB
 2 -33.601666667   22.185833333        0      367    50      0.000   OH ENRT FA OUDTSHOORN NDB
 2  30.625000000   18.351111111        0      300    50      0.000   OJ ENRT HL ESSIDER NDB
 2   6.505972222    4.791666667        0      345    50      0.000   OK ENRT DN OKITIPUPA NDB
 2  10.956052778  -14.306880556        0      382    50      0.000   OK ENRT GU BOKE NDB
 2 -26.574444444   31.239166667        0      240    75      0.000   OM ENRT FD MATSAPHA (MANZINI) NDB
 2  35.714600000   -0.351375000        0      415    25      0.000   ON ENRT DA ORAN NDB
 2 -21.268333333   25.302500000        0      295    25      0.000   OR ENRT FB ORAPA NDB
 2  28.294444444   19.947777778        0      280    50      0.000   OR ENRT HL WAHA 59-A NDB
 2 -29.559611111   30.448727778        0      442    50      0.000  ORI ENRT FA PIETERMARITZBURG NDB
 2  30.927280556   -6.882422222        0      384    25      0.000  ORZ ENRT GM OUARZAZATE NDB
 2   5.608847222    5.832719444        0      325    15      0.000   OS ENRT DN OSUBI NDB
 2  -1.210030556   15.921647222        0      262    50      0.000  OTK ENRT FC SASSOU N'GUESSO (OLLOMBO) NDB
 2  31.948055556    5.418333333        0      356    25      0.000   OU ENRT DA OUARGLA NDB
 2  12.333991667   -1.525180556        0      333    50      0.000  OUA ENRT DF OUAGADOUGOU NDB
 2  29.233333333   21.550000000        0      390    50      0.000   OV ENRT HL NAFOORA M4 NDB
 2  29.035555556   20.781388889        0      334    50      0.000  OXY ENRT HL OXY 103 A NDB
 2   1.537527778   11.576527778        0      353    50      0.000   OY ENRT FO OYEM NDB
 2  35.653800000   -0.532263889        0      265    25      0.000   OO DAOO DA AHMED BENBELLA (ORAN) NDB
 2   5.406427778    7.210744444        0      320    15      0.000   OW DNIM DN OWERRI NDB
 2 -17.994272222   31.027566667        0      346    25      0.000   OL FVHA FV HARARE INTL NDB
 2  -4.340100000   15.517797222        0      340    25      0.000   OK FZAA FZ N'DJILI INTL (KINSHASA) NDB
 2  31.854138889   24.592472222        0      344    15      0.000   OM HLBK HL KAMBUT (BURDI) NDB
 3  57.775036111 -152.339838889      133    11710   130     14.000  ODK ENRT PA KODIAK VOR/DME
12  57.775036111 -152.339838889      133    11710   130      0.000  ODK ENRT PA KODIAK VOR/DME
13  60.474986111 -150.878880556      250    11590    40      0.000  OLT ENRT PA SOLDOTNA DME
 3  64.485108333 -165.253175000       92    11500   130     11.000  OME ENRT PA NOME VOR/DME
12  64.485108333 -165.253175000       92    11500   130      0.000  OME ENRT PA NOME VOR/DME
13  67.570111111 -162.972625000       85    11020    40      0.000  OQK ENRT PA NOATAK DME
 3  62.947200000 -141.912608333     1779    11630   130     24.000  ORT ENRT PA NORTHWAY VORTAC
12  62.947200000 -141.912608333     1779    11630   130      0.000  ORT ENRT PA NORTHWAY VORTAC DME
 3  66.885683333 -162.539936111      121    11570   130     15.000  OTZ ENRT PA KOTZEBUE VOR/DME
12  66.885683333 -162.539936111      121    11570   130      0.000  OTZ ENRT PA KOTZEBUE VOR/DME
13  64.512505556 -165.432436111       54    11380    40      0.000  OYN ENRT PA GOLD (NOME) DME
 2  64.695522222 -162.063711111        0      263    50      0.000  OAY ENRT PA NORTON BAY (MOSES PT) NDB
 2  59.543638889 -139.728169444        0      385    50      0.000  OCC ENRT PA OCEAN CAPE (YAKUTAT) NDB
 2  58.553458333 -117.120991667        0      239    50      0.000   OJ ENRT CY HIGH LEVEL NDB
 2  60.474986111 -150.878880556        0      346    25      0.000  OLT ENRT PA SOLDOTNA NDB
 2  49.342500000 -119.568888889        0      356    25      0.000   ON ENRT CY OKANAGAN (PENTICTON) NDB
 2  43.920841667  -78.899969444        0      391    25      0.000   OO ENRT CY OSHAWA NDB
 2  67.570111111 -162.972625000        0      414    25      0.000  OQK ENRT PA NOATAK NDB
 2  60.791308333 -161.872758333        0      251    50      0.000  OSE ENRT PA OSCARVILLE (BETHEL) NDB
 2  46.777780556  -71.289708333        0      329    50      0.000   OU ENRT CY STE FOY (QUEBEC) NDB
