I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

13 -14.278361111   50.176722222       20    11350   130      0.000   SB ENRT FM SAMBAVA DME
 3 -20.884833333   55.509805556       57    11290   130    -19.000  SDG ENRT FM LA REUNION VOR/DME
12 -20.884833333   55.509805556       57    11290   130      0.000  SDG ENRT FM LA REUNION VOR/DME
 3  36.629913889    2.972638889       82    11390   130     -0.000  SDM ENRT DA SIDI M'HAMED (ALGIERS) VOR/DME
12  36.629913889    2.972638889       82    11390   130      0.000  SDM ENRT DA SIDI M'HAMED (ALGIERS) VOR/DME
 3  26.995594444   14.459736111     1405    11470   130      2.000  SEB ENRT HL SEBHA VOR/DME
12  26.995594444   14.459736111     1405    11470   130      0.000  SEB ENRT HL SEBHA VOR/DME
 3  34.716138889   10.688916667        0    11400   130      2.000  SFX ENRT DT SFAX VOR
 3 -15.959225000   -5.647755556     1047    11310   130    -17.000   SH ENRT FH ST HELENA VOR/DME
12 -15.959266667   -5.647883333     1047    11310   130      0.000   SH ENRT FH ST HELENA VOR/DME
 3  26.361416667   31.730305556      313    11530   130      3.000  SHG ENRT HE SUHAG VOR/DME
12  26.361416667   31.730305556      313    11530   130      0.000  SHG ENRT HE SUHAG VOR/DME
 3  27.997972222   34.413388889      130    11420   130      4.000  SHM ENRT HE SHARM EL SHEIKH VOR/DME
12  27.997972222   34.413388889      130    11420   130      0.000  SHM ENRT HE SHARM EL SHEIKH VOR/DME
 3  11.592222222   -5.815833333     1357    11650   130     -5.000  SKO ENRT GA SIKASSO VOR/DME
12  11.592222222   -5.815833333     1357    11650   130      0.000  SKO ENRT GA SIKASSO VOR/DME
 3  33.115686111   -7.506100000      988    11250   130     -2.000  SLK ENRT GM SIDI KHEDIM (CASABLANCA) VOR/DME
12  33.115686111   -7.506100000      988    11250   130      0.000  SLK ENRT GM SIDI KHEDIM (CASABLANCA) VOR/DME
 3 -32.450000000   20.622500000        0    11330   130    -24.000  SLV ENRT FA SUTHERLAND VOR
 3  22.355000000   31.621944444      640    11350   130      3.000  SML ENRT HE ABU SIMBEL VOR/DME
12  22.355000000   31.621944444      640    11350   130      0.000  SML ENRT HE ABU SIMBEL VOR/DME
 3  34.235277778   -6.052222222        1    11550    40     -4.200  SMN ENRT GM SIDI SLIMANE VOR/DME
12  34.235277778   -6.052222222        1    11550    40      0.000  SMN ENRT GM SIDI SLIMANE VOR/DME
